example1_x	example1_y	example2_x	example2_y	example3_x	example3_y	example4_x	example4_y	example5_x	example5_y	example6_x	example6_y	example7_x	example7_y	example8_x	example8_y	example9_x	example9_y	example10_x	example10_y	example11_x	example11_y	example12_x	example12_y	example13_x	example13_y
32.33111023	61.41110125	51.20389114	83.33977661	55.99303015	79.2772637	55.3846	97.1795	51.14791671	90.86741233	53.36656687	90.20803001	57.61323355	83.9051708	52.87202149	97.34322266	47.69520089	95.24118693	58.21360826	91.88189151	50.48150817	93.22270137	65.81554009	95.58837406	38.33775718	92.47271905
53.42146288	26.18688039	58.9744699	85.49981761	50.03225379	79.0130712	51.5385	96.0256	50.51712581	89.10239459	52.80197936	90.08806451	51.27439182	82.81798294	59.01414449	93.57487487	44.60997591	93.07583503	58.19605369	92.21498865	50.28240567	97.60998357	65.67226516	91.93340181	35.75187079	94.11676803
63.92020226	30.83219392	51.87207267	85.82973763	51.28845866	82.43593984	46.1538	94.4872	50.2074802	85.4600474	47.05412988	90.45893603	50.75389841	76.75412895	56.37510904	96.30514763	43.85638148	94.08587177	58.71823072	90.31053209	50.18670334	99.69468014	39.00271645	92.26183816	32.76721796	88.51829458
70.28950572	82.53364859	48.17993079	85.04511674	51.17053689	79.16529411	42.8205	91.4103	50.06948192	83.05766953	42.44843378	89.50770012	37.02118401	81.95447	37.83919968	94.3594435	41.5789294	90.30356654	57.27837287	89.90760672	50.32691086	90.02205349	37.7953028	93.53245536	33.72960678	88.62226579
34.11883024	45.73455132	41.6832004	84.0179406	44.37791453	78.164628	40.7692	88.3333	50.56284634	82.93782178	42.70403632	90.44262886	42.88175509	80.18477005	39.88537342	90.63466208	49.17741856	96.61053245	58.08202049	92.00814501	50.45620733	89.98741013	35.51390059	89.59919011	37.23824933	83.72492841
67.6707164	37.11094797	37.8904155	82.567493	45.01027007	77.88086312	38.7179	84.8718	50.2885278	82.97525357	32.37893863	90.14414263	37.15571048	84.95411141	44.07740513	84.1258533	42.65225098	90.56063973	57.48944777	88.08528556	30.46484693	82.08923208	39.21945291	83.54348184	36.02719822	82.04078065
53.25912941	97.4757711	39.54897369	80.81260177	48.55981672	78.7883706	35.641	79.8718	25.58347508	82.91489113	32.53070274	70.15739651	38.73185813	83.78935643	31.49702549	67.91256216	30.12333182	81.14429533	28.08874132	63.51079443	30.50159647	82.30712635	31.58820139	77.02805242	39.23928078	79.26372384
63.51498087	25.10007858	39.64957388	82.66453387	42.14226829	76.88063455	33.0769	77.5641	25.48358339	82.92908498	33.36526443	70.45933544	31.00052541	82.5794806	25.95259655	73.03318035	31.91551999	79.79041349	28.08546821	63.59019695	30.48956923	77.72988014	32.65777825	80.1138613	39.78452494	82.2605659
67.98053881	80.95716522	34.75059705	80.01109099	41.02697157	76.40958846	28.9744	74.4872	25.4435257	82.8742005	32.65609918	70.0510705	25.98549962	74.34938755	36.43472391	62.29404546	27.88771936	75.44557599	28.08727305	63.12328281	30.45024833	79.8348944	31.64159927	77.61083319	35.16602939	84.15649198
67.3724659	29.7204002	27.56083529	72.84782559	34.57530901	72.72484118	26.1538	71.4103	25.56511342	82.92409777	22.95509327	70.42689515	23.71456629	75.09804908	24.99748269	75.44156166	27.54823445	75.16475905	27.57802522	62.82103866	30.5183948	68.25258294	30.98714261	63.94402803	40.62211592	78.54210421
15.56074952	80.06564029	24.63553998	71.61071483	31.16860072	69.24542132	23.0769	66.4103	25.92884427	82.82118411	27.14984363	70.21080584	23.07731951	71.72053967	32.24627514	70.11058684	20.20977816	67.5166421	27.77991911	63.51814752	30.51166121	66.09371818	27.43963221	65.74446296	39.18190709	79.8190372
71.79076769	71.06546666	20.95946481	66.04149838	32.64425407	70.73255503	22.3077	61.7949	27.55147826	51.48738653	26.16690928	70.50031512	24.93913687	72.58028581	18.10947229	53.70811033	24.44345283	54.47365512	28.58899981	63.02408057	30.49807771	62.38498503	30.57836994	65.52194547	42.43088899	75.13363464
70.24254644	24.10959755	20.68914905	62.72130521	26.66664565	62.98097121	22.3077	57.1795	27.53046637	51.41484656	26.33145708	50.49455653	17.89349871	71.10968734	21.79609923	49.49952952	24.63083013	53.3957389	28.7391415	62.72086389	30.62022775	60.86008215	28.80940164	59.62100447	43.08125586	75.34670164
64.93743554	81.55420499	19.28820474	62.06305936	26.45926233	62.63467337	23.3333	52.9487	27.09557036	52.07679944	22.00370914	50.49944012	23.67308186	64.87083914	24.15049107	47.18853353	21.0379689	49.82929965	27.02460324	62.90185886	30.49218542	55.87891689	27.93951858	50.98506213	44.36071943	70.47420705
62.21352455	21.475839	20.02450057	61.34262387	25.53800765	60.63023611	25.8974	51.0256	27.43924961	51.71207905	23.28474798	50.47435283	23.74907191	63.5571719	28.6031956	44.2237227	27.10624293	54.71955315	28.8013367	63.38904039	30.47463433	52.32215964	33.84994979	46.28447445	44.32477884	71.0459044
67.26940048	18.70896837	35.469523	43.11588495	26.32071119	62.39628112	29.4872	51.0256	27.87826426	50.70890793	27.63403839	50.50366686	32.21517863	65.60095802	20.93199968	51.64623549	28.08961766	60.51221255	27.18646384	63.55872965	30.50099808	48.06969968	32.62846305	54.06372049	47.5521602	66.46040372
40.57019704	79.37296348	36.89432765	47.70655597	26.16338746	62.0268149	32.8205	51.0256	27.33886892	51.65304675	32.037108	50.50006612	29.43684125	67.55452811	35.43553253	34.96103816	31.13573492	61.43191271	29.2851466	63.38360583	30.49442136	45.77347553	32.43865009	49.90301949	48.66492462	64.96100494
74.74118133	21.1016372	39.05554978	55.54697371	25.21379046	60.2733986	35.3846	51.4103	27.67840297	51.18198917	29.33651065	50.46189397	40.0500952	71.88903357	44.37738282	57.68473692	37.70083752	68.41840528	39.4029453	51.1508572	30.49954455	49.38209975	35.83829208	53.35148834	46.28063196	68.02842315
71.76831892	20.01106184	46.95708015	65.24040739	26.85952956	63.14183467	40.2564	51.4103	52.63565768	51.41855226	40.81695313	50.4877602	37.57479502	69.98874444	46.31369241	55.68559177	43.3926884	43.59759407	28.81132844	61.35785406	50.14439298	47.01428364	37.14204292	49.74198795	50.56324448	62.62382797
76.16691981	75.9361704	37.31045274	45.2587509	31.76066917	69.79765539	44.1026	52.9487	52.02521411	52.12301105	42.73907512	50.48315599	49.31046863	67.16876032	46.38607392	51.00216454	51.26239748	49.66650513	34.30395791	56.54212591	49.91289859	55.58783891	34.64454677	54.44410778	52.63096423	59.96393579
65.62365744	15.58280335	40.009672	60.98658251	39.79329057	75.80796422	46.6667	54.1026	52.88116479	50.62155476	51.86789377	50.49327326	47.34801855	72.59161154	42.49544009	56.90368153	43.28671292	43.05686032	29.60276098	60.15734672	50.33742749	57.95531428	35.6754047	49.62564335	54.63620644	57.49384244
50.85063364	13.98760163	48.01438668	65.71281959	45.61743919	78.11997023	50	55.2564	52.95260731	50.07473901	43.37100189	50.50083732	50.15741443	71.16172582	44.30051503	58.13295928	55.90591623	54.25267253	49.11615686	63.66000062	50.4189792	60.52491173	64.99458547	49.46217283	51.34602714	61.60055304
