,COUNTY,VIOLENT,PROPERTY,F_DRUGOFF,F_SEXOFF,F_ALLOTHER,F_TOTAL,M_TOTAL,S_TOTAL
2204,Alameda County,4132,3051,1062,173,2619,11037,28305,82
2205,Alpine County,5,2,1,0,3,11,41,0
2206,Amador County,72,40,31,3,142,288,701,1
2207,Butte County,785,437,229,47,741,2239,8853,1
2208,Calaveras County,147,42,29,6,96,320,897,0
2209,Colusa County,66,36,5,3,126,236,753,0
2210,Contra Costa County,2614,2740,796,146,2489,8785,16223,2
2211,Del Norte County,151,65,43,7,89,355,1525,0
2212,El Dorado County,480,253,102,23,459,1317,3508,0
2213,Fresno County,4316,1962,555,228,2899,9960,28736,38
2214,Glenn County,100,47,23,6,117,293,1018,5
2215,Humboldt County,492,264,134,39,616,1545,5577,5
2216,Imperial County,401,281,145,28,321,1176,4483,3
2217,Inyo County,107,28,13,0,101,249,653,0
2218,Kern County,3412,2607,741,129,2878,9767,25552,70
2219,Kings County,603,307,86,42,747,1785,5545,88
2220,Lake County,366,159,183,19,288,1015,3217,0
2221,Lassen County,115,57,41,6,91,310,594,4
2222,Los Angeles County,28865,18901,6412,1029,18256,73463,172389,347
2223,Madera County,562,200,131,33,502,1428,4317,6
2224,Marin County,524,323,95,31,252,1225,5227,56
2225,Mariposa County,32,32,14,3,18,99,390,0
2226,Mendocino County,381,211,120,8,343,1063,3237,3
2227,Merced County,1029,510,166,65,903,2673,7326,432
2228,Modoc County,66,16,10,8,80,180,300,0
2229,Mono County,58,9,7,0,6,80,256,0
2230,Monterey County,1244,743,292,76,878,3233,9543,81
2231,Napa County,356,202,84,14,574,1230,3197,5
2232,Nevada County,191,134,60,11,236,632,2307,61
2233,Orange County,6097,4877,1855,393,4582,17804,66910,537
2234,Placer County,764,587,237,55,988,2631,6477,7
2235,Plumas County,78,33,26,4,64,205,683,10
2236,Riverside County,5315,3565,1321,176,3516,13893,31557,131
2237,Sacramento County,5084,3142,1417,232,4020,13895,23366,87
2238,San Benito County,179,51,46,16,120,412,1286,2
2239,San Bernardino County,8839,7310,2519,496,4899,24063,48461,1044
2240,San Diego County,8574,4140,2094,274,6763,21845,62416,432
2241,San Francisco County,2054,1146,791,60,3448,7499,7937,0
2242,San Joaquin County,3039,1301,501,140,2084,7065,14031,5
2243,San Luis Obispo County,644,350,106,32,420,1552,9427,5
2244,San Mateo County,1415,874,228,64,910,3491,13494,43
2245,Santa Barbara County,1306,697,517,47,899,3466,14866,50
2246,Santa Clara County,4166,2938,880,336,2418,10738,27169,121
2247,Santa Cruz County,773,547,174,39,770,2303,8594,10
2248,Shasta County,515,426,160,31,998,2130,7502,84
2249,Sierra County,10,15,3,7,10,45,67,0
2250,Siskiyou County,179,101,71,8,226,585,1643,0
2251,Solano County,1496,1024,484,75,1160,4239,10559,18
2252,Sonoma County,1475,806,265,88,902,3536,13153,9
2253,Stanislaus County,2349,1255,884,133,1846,6467,14008,34
2254,Sutter County,400,254,53,32,345,1084,3314,6
2255,Tehama County,209,142,25,24,170,570,1971,2
2256,Trinity County,67,31,75,3,88,264,346,0
2257,Tulare County,2322,1495,931,107,1741,6596,15163,360
2258,Tuolumne County,203,122,87,9,311,732,2019,12
2259,Ventura County,2271,1535,732,80,2193,6811,26612,630
2260,Yolo County,575,351,120,22,518,1586,4602,6
2261,Yuba County,391,188,164,13,257,1013,1942,0
