261904,38372776,2018-02-02 00:00:00,02/02/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10458.0,2371 HUGHES AVENUE,HUGHES AVENUE,EAST 186 STREET,EAST 187 STREET,,,ADDRESS,BRONX,,,Closed,03/04/2018 01:42:50 PM,02/02/2018 01:45:26 PM,06 BRONX,BRONX,1015444.0,250718.0,Unspecified,BRONX,,,,,,,,40.85478277920142,-73.88723850303067,"(40.85478277920142, -73.88723850303067)"
261905,38372072,2018-02-02 00:00:00,02/02/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,3+ Family Apartment Building,10025.0,244 WEST  109 STREET,WEST  109 STREET,AMSTERDAM AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,,Closed,03/04/2018 02:28:42 PM,02/02/2018 02:33:09 PM,07 MANHATTAN,MANHATTAN,993722.0,231830.0,Unspecified,MANHATTAN,,,,,,,,40.80299065281518,-73.96578683158725,"(40.80299065281518, -73.96578683158725)"
261906,38370845,2018-02-02 00:00:00,02/02/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10024.0,155 WEST   81 STREET,WEST   81 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,,,ADDRESS,NEW YORK,,,Closed,03/04/2018 12:03:16 PM,02/02/2018 12:11:04 PM,07 MANHATTAN,MANHATTAN,990883.0,224875.0,Unspecified,MANHATTAN,,,,,,,,40.783903645343976,-73.97604825923725,"(40.783903645343976, -73.97604825923725)"
261907,38370155,2018-02-02 00:00:00,02/02/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11377.0,42-17 68 STREET,68 STREET,BEND,43 AVENUE,,,ADDRESS,Woodside,,,Closed,03/04/2018 05:23:33 PM,02/02/2018 05:26:04 PM,02 QUEENS,QUEENS,1012937.0,209767.0,Unspecified,QUEENS,,,,,,,,40.74239203931924,-73.89647585892615,"(40.742392039319235, -73.89647585892615)"
261908,38370149,2018-02-02 00:00:00,02/02/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11221.0,550A LEXINGTON AVENUE,LEXINGTON AVENUE,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,,,ADDRESS,BROOKLYN,,,Closed,03/04/2018 08:06:25 PM,02/02/2018 08:08:38 PM,03 BROOKLYN,BROOKLYN,1001369.0,190349.0,Unspecified,BROOKLYN,,,,,,,,40.689124250251155,-73.93827121294302,"(40.68912425025116, -73.93827121294301)"
261909,38369963,2018-02-02 00:00:00,02/02/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Other (Explain Below),10468.0,2337 GRAND CONCOURSE,GRAND CONCOURSE,EAST 183 STREET,FIELD PLACE,,,ADDRESS,BRONX,,,Closed,03/04/2018 08:53:17 AM,02/02/2018 08:55:38 AM,05 BRONX,BRONX,1012082.0,252034.0,Unspecified,BRONX,,,,,,,,40.85840604170503,-73.89938613893433,"(40.85840604170503, -73.89938613893433)"
261910,38369369,2018-02-02 00:00:00,02/02/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11217.0,527 DEAN STREET,DEAN STREET,,,,,LATLONG,BROOKLYN,,,Closed,03/04/2018 08:56:37 AM,02/02/2018 08:59:40 AM,Unspecified BROOKLYN,BROOKLYN,991821.0,187520.0,Unspecified,BROOKLYN,,,,,,,,40.68137260993518,-73.97270317827831,"(40.68137260993518, -73.97270317827831)"
261911,38368764,2018-02-02 00:00:00,02/02/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10033.0,501 WEST 173RD STREET,WEST 173RD STREET,,,,,LATLONG,NEW YORK,,,Closed,03/04/2018 02:51:39 PM,02/02/2018 02:53:42 PM,Unspecified MANHATTAN,MANHATTAN,1002287.0,246476.0,Unspecified,MANHATTAN,,,,,,,,40.84317642811894,-73.9348104156656,"(40.84317642811894, -73.9348104156656)"
261912,38367710,2018-02-02 00:00:00,02/02/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11216.0,826 MARCY AVENUE,MARCY AVENUE,,,,,LATLONG,BROOKLYN,,,Closed,03/04/2018 11:27:50 PM,02/02/2018 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,998811.0,188962.0,Unspecified,BROOKLYN,,,,,,,,40.68532183194441,-73.94749800841993,"(40.68532183194441, -73.94749800841994)"
261913,38358694,2018-02-02 00:00:00,02/02/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Mixed Use Building,10003.0,29 EAST    2 STREET,EAST    2 STREET,BOND STREET,2 AVENUE,,,ADDRESS,NEW YORK,,,Closed,03/04/2018 12:20:28 AM,02/02/2018 12:00:00 AM,03 MANHATTAN,MANHATTAN,986760.0,203476.0,Unspecified,MANHATTAN,,,,,,,,40.725170963652616,-73.99094438640566,"(40.72517096365262, -73.99094438640566)"
261914,38373471,2018-02-02 00:00:00,02/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10451.0,705 GERARD AVENUE,GERARD AVENUE,,,,,LATLONG,BRONX,,,Closed,03/04/2018 10:29:06 PM,02/09/2018 12:00:00 AM,Unspecified BRONX,BRONX,1004395.0,239510.0,Unspecified,BRONX,,,,,,,,40.824052214750964,-73.92721257520405,"(40.82405221475096, -73.92721257520405)"
261915,38373288,2018-02-02 00:00:00,02/15/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Public Stairs,11215.0,400 4 STREET,4 STREET,6 AVENUE,7 AVENUE,,,ADDRESS,BROOKLYN,,,Assigned,03/04/2018 09:10:58 PM,02/15/2018 12:00:00 AM,06 BROOKLYN,BROOKLYN,989675.0,183583.0,Unspecified,BROOKLYN,,,,,,,,40.670568008196476,-73.9804436312665,"(40.670568008196476, -73.9804436312665)"
261916,38372982,2018-02-02 00:00:00,02/08/2018 04:23:49 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11233.0,508 MACDONOUGH STREET,MACDONOUGH STREET,PATCHEN AVENUE,RALPH AVENUE,,,ADDRESS,BROOKLYN,,,Closed,03/04/2018 09:04:44 AM,02/08/2018 04:23:49 PM,03 BROOKLYN,BROOKLYN,1004885.0,188152.0,Unspecified,BROOKLYN,,,,,,,,40.68308649117176,-73.92559972902288,"(40.683086491171764, -73.92559972902288)"
261917,38372908,2018-02-02 00:00:00,02/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Cat,3+ Family Apartment Building,11225.0,580 EMPIRE BOULEVARD,EMPIRE BOULEVARD,LAMONT COURT,KINGSTON AVENUE,,,ADDRESS,BROOKLYN,,,Closed,03/04/2018 09:58:16 AM,02/06/2018 12:00:00 AM,09 BROOKLYN,BROOKLYN,1000033.0,181220.0,Unspecified,BROOKLYN,,,,,,,,40.66406969404813,-73.94311002446291,"(40.66406969404813, -73.9431100244629)"
261918,38370361,2018-02-02 00:00:00,02/08/2018 06:44:30 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10451.0,283 EAST  149 STREET,EAST  149 STREET,MORRIS AVENUE,COURTLANDT AVENUE,,,ADDRESS,BRONX,,,Closed,03/04/2018 06:20:29 PM,02/08/2018 06:44:30 PM,01 BRONX,BRONX,1005910.0,236991.0,Unspecified,BRONX,,,,,,,,40.81713468822815,-73.92174674752809,"(40.81713468822815, -73.9217467475281)"
261919,38368377,2018-02-02 00:00:00,02/13/2018 04:38:30 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11225.0,410 EASTERN PARKWAY,EASTERN PARKWAY,BEDFORD AVENUE,ROGERS AVENUE,,,ADDRESS,BROOKLYN,,,Assigned,03/04/2018 06:07:58 AM,02/13/2018 04:38:30 PM,09 BROOKLYN,BROOKLYN,996798.0,183410.0,Unspecified,BROOKLYN,,,,,,,,40.670085931603296,-73.95476653454561,"(40.670085931603296, -73.95476653454561)"
261920,38368152,2018-02-02 00:00:00,02/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Mixed Use Building,10452.0,1406 TOWNSEND AVENUE,TOWNSEND AVENUE,EAST 170 STREET,EAST 171 STREET,,,ADDRESS,BRONX,,,Closed,03/04/2018 02:52:35 PM,02/09/2018 12:00:00 AM,04 BRONX,BRONX,1007329.0,245373.0,Unspecified,BRONX,,,,,,,,40.840137278232454,-73.91659135255412,"(40.840137278232454, -73.91659135255412)"
261921,38368147,2018-02-02 00:00:00,02/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11377.0,58 PLACE,58 PLACE,LAUREL HILL BOULEVARD,52 AVENUE,,,BLOCKFACE,WOODSIDE,,,Closed,03/04/2018 02:39:11 PM,02/09/2018 12:00:00 AM,Unspecified QUEENS,QUEENS,1009718.0,207387.0,Unspecified,QUEENS,,,,,,,,40.73586938932426,-73.9081014187974,"(40.735869389324264, -73.9081014187974)"
261922,38367525,2018-02-02 00:00:00,02/07/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11372.0,37-56 87 STREET,87 STREET,37 AVENUE,ROOSEVELT AVENUE,,,ADDRESS,Jackson Heights,,,Closed,03/04/2018 05:46:08 PM,02/07/2018 12:00:00 AM,03 QUEENS,QUEENS,1017658.0,212140.0,Unspecified,QUEENS,,,,,,,,40.74888874937064,-73.87942719445873,"(40.748888749370636, -73.87942719445874)"
261923,38365775,2018-02-02 00:00:00,02/13/2018 02:26:42 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11225.0,181 LINCOLN ROAD,LINCOLN ROAD,BEDFORD AVENUE,ROGERS AVENUE,,,ADDRESS,BROOKLYN,,,Assigned,03/04/2018 12:28:59 AM,02/13/2018 02:26:42 PM,09 BROOKLYN,BROOKLYN,996383.0,180184.0,Unspecified,BROOKLYN,,,,,,,,40.66123185758757,-73.9562683463895,"(40.66123185758757, -73.95626834638952)"
261924,38373917,2018-02-02 00:00:00,02/22/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Mixed Use Building,11210.0,1145 EAST   35 STREET,EAST   35 STREET,AVENUE J,AVENUE K,,,ADDRESS,BROOKLYN,,,Closed,03/04/2018 10:37:29 PM,02/22/2018 12:00:00 AM,18 BROOKLYN,BROOKLYN,1000372.0,167406.0,Unspecified,BROOKLYN,,,,,,,,40.626152640566346,-73.94192110969969,"(40.626152640566346, -73.94192110969969)"
261925,38373903,2018-02-02 00:00:00,02/28/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10030.0,124 WEST  139 STREET,WEST  139 STREET,LENOX AVENUE,7 AVENUE,,,ADDRESS,NEW YORK,,,Closed,03/04/2018 06:30:22 PM,02/28/2018 12:00:00 AM,10 MANHATTAN,MANHATTAN,1000718.0,237040.0,Unspecified,MANHATTAN,,,,,,,,40.81728038414342,-73.94050427928579,"(40.81728038414342, -73.94050427928578)"
261926,38373822,2018-02-02 00:00:00,02/05/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11206.0,528 GRAND STREET,GRAND STREET,,,,,LATLONG,BROOKLYN,,,Closed,03/04/2018 04:04:26 PM,02/05/2018 12:00:00 AM,01 BROOKLYN,BROOKLYN,998042.0,198242.0,Unspecified,BROOKLYN,,,,,,,,40.710794497160286,-73.95025175619666,"(40.71079449716029, -73.95025175619665)"
261927,38373564,2018-02-02 00:00:00,02/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11237.0,441 BLEECKER STREET,BLEECKER STREET,ST NICHOLAS AVENUE,CYPRESS AVENUE,,,ADDRESS,BROOKLYN,,,Closed,03/04/2018 02:38:05 PM,02/09/2018 12:00:00 AM,04 BROOKLYN,BROOKLYN,1008424.0,195639.0,Unspecified,BROOKLYN,,,,,,,,40.7036276059677,-73.91281287054612,"(40.703627605967704, -73.91281287054612)"
261928,38373552,2018-02-02 00:00:00,02/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,11412.0,114-15 DUNKIRK STREET,DUNKIRK STREET,MURDOCK AVENUE,QUENCER ROAD,,,ADDRESS,Saint Albans,,,Closed,03/04/2018 10:35:54 PM,02/06/2018 12:00:00 AM,12 QUEENS,QUEENS,1048322.0,193049.0,Unspecified,QUEENS,,,,,,,,40.696319740306656,-73.76893989397823,"(40.69631974030666, -73.76893989397824)"
261929,38373545,2018-02-02 00:00:00,02/05/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,10304.0,25 TESSA COURT,TESSA COURT,VAN DUZER STREET,DEAD END,,,ADDRESS,STATEN ISLAND,,,Closed,03/04/2018 12:08:27 PM,02/05/2018 12:00:00 AM,01 STATEN ISLAND,STATEN ISLAND,960389.0,165588.0,Unspecified,STATEN ISLAND,,,,,,,,40.62114514913404,-74.08595190147453,"(40.62114514913404, -74.08595190147453)"
261930,38373516,2018-02-02 00:00:00,02/08/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10456.0,820 ST ANNS AVENUE,ST ANNS AVENUE,EAST 158 STREET,EAST 159 STREET,,,ADDRESS,BRONX,,,Closed,03/04/2018 11:37:47 AM,02/08/2018 12:00:00 AM,01 BRONX,BRONX,1009171.0,238422.0,Unspecified,BRONX,,,,,,,,40.821053780621135,-73.9099600997302,"(40.821053780621135, -73.90996009973021)"
261931,38372951,2018-02-02 00:00:00,02/09/2018 12:00:01 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Other (Explain Below),11432.0,183-14 HILLSIDE AVENUE,HILLSIDE AVENUE,183 STREET,184 STREET,,,ADDRESS,Jamaica,,,Closed,02/16/2018 09:38:04 PM,02/09/2018 11:54:43 AM,12 QUEENS,QUEENS,1045613.0,199444.0,Unspecified,QUEENS,,,,,,,,40.71389165187989,-73.7786509268332,"(40.71389165187989, -73.7786509268332)"
261932,38372886,2018-02-02 00:00:00,02/05/2018 11:01:57 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,11435.0,111-02 SUTPHIN BOULEVARD,SUTPHIN BOULEVARD,111 AVENUE,111 ROAD,,,ADDRESS,Jamaica,,,Closed,02/16/2018 11:02:57 PM,02/05/2018 11:01:51 AM,12 QUEENS,QUEENS,1040953.0,190194.0,Unspecified,QUEENS,,,,,,,,40.68853372996561,-73.79553833151935,"(40.68853372996562, -73.79553833151934)"
261933,38372651,2018-02-02 00:00:00,02/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11105.0,21-27 27 STREET,27 STREET,21 AVENUE,DITMARS BOULEVARD,,,ADDRESS,Astoria,,,Closed,03/04/2018 07:12:03 PM,02/12/2018 12:00:00 AM,01 QUEENS,QUEENS,1008708.0,223072.0,Unspecified,QUEENS,,,,,,,,40.778923538409146,-73.91168883540587,"(40.77892353840914, -73.91168883540588)"
261934,38372512,2018-02-02 00:00:00,04/13/2018 02:03:41 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,1-2 Family Dwelling,10459.0,881 EAST  162 STREET,EAST  162 STREET,PROSPECT AVENUE,EAST 163 STREET,,,ADDRESS,BRONX,,,Closed,03/04/2018 12:34:43 PM,04/13/2018 02:03:41 PM,02 BRONX,BRONX,1012005.0,238504.0,Unspecified,BRONX,,,,,,,,40.821270397260534,-73.89972048984208,"(40.82127039726054, -73.89972048984208)"
261935,38372318,2018-02-02 00:00:00,02/08/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10460.0,932 EAST  173 STREET,EAST  173 STREET,SOUTHERN BOULEVARD,HOE AVENUE,,,ADDRESS,BRONX,,,Closed,03/04/2018 10:50:02 AM,02/08/2018 12:00:00 AM,03 BRONX,BRONX,1015192.0,243694.0,Unspecified,BRONX,,,,,,,,40.835504863783285,-73.88818185441696,"(40.835504863783285, -73.88818185441696)"
