,OBJECTID,Location,BureauID,Date_,TotalKille,CiviliansK,ChildrenKi,Summary,Latitude,Longitude,Killed,Year
0,1,Wana,B1,2004-06-17,6-8,2,2,"First known drone strike in Pakistan kills 7, including Taliban leader and 2 children. Wana, South Waziristan.",32.3051256533,69.5762443542,6,0
1,2,Toorikhel,B2,2005-05-08,2,0,0,"Two killed, including al Qaeda operative, near Mir Ali, North Waziristan.",32.9867798934,70.2608299255,2,0
2,3,Mosaki,B3,2005-11-05,8,0,3,"Failed strike against Al Qaeda official kills 8 including 3 children. Mosaki, North Waziristan.",32.9998819119,70.3408241272,8,0
3,4,Haisori,B4,2005-12-01,5,2,2,"Three Al Qaeda killed along with two children. Haisori, North Waziristan.",33.0086634946,70.0419616699,5,0
4,5,Saidgai,B5,2006-01-06,8,3,1,"Eight killed, including two women and a child. Saigdai, North Waziristan.",33.0949931078,70.0591278076,8,0
5,6,Damadola,B6,2006-01-13,13-18,0,5,"Failed strike on al Qaeda â€“ with none killed despite initial claims.  Up to 22 people die, most or all civilians, including five children. Damadola, Bajaur Agency.",34.8154945317,71.496963501,13,0
6,7,Chenegai,B7,2006-10-30,82,0,69,"82 killed, including up to 69 children, in attack on religious school in Chenegai, Bajaur Agency.",34.8363499908,71.4921569824,82,0
7,8,Zamazola,B8,2007-01-16,8,0,0,"Eight killed, reportedly Taliban or innocent woodcutters.  Zamzola, South Waziristan.",32.835750633,69.5558166504,8,0
8,9,Saidgai,B9,2007-04-27,4,4,0,"Four killed, reportedly all named civilians, in Danda Saidgi, North Waziristan.",33.0949931078,70.0591278076,4,0
9,10,Mami Rogha,B10,2007-06-19,20-34,0,0,"20-34 killed in attack on madrassa, including â€˜foreignersâ€™. One report of children among dead. Mami Rogha, North Waziristan.",32.9887957151,70.287437439,20,2007
10,11,Danda Darpakhel,B11,2007-11-02,5-10,0,0,"Attack kills 5-10 alleged Haqqani militants. Danda Darpakhel, North Waziristan.",33.0201789992,70.0728607178,5,2007
11,12,Jani Khel,B12,2007-12-03,Unknown,0,0,"Strike injures al Qaeda local leader in Jani Khel, Bannu.",32.8028590161,70.486907959,0,2007
12,13,Mir Ali,B13,2008-01-29,13-15,5,3,"Al Qaeda militants killed along with two women and three children in Mir Ali, North Waziristan.",32.9582654853,70.2410888672,13,2008
13,14,Azam Warsak,B14,2008-02-28,8-13,0,0,"8-13 killed, including possibly students, in strike on Kaloosha, North Waziristan.",32.3022237948,69.4054412842,8,2008
14,15,Dhook Pir Bagh,B15,2008-03-16,8-16,4,0,"Al Qaeda militant and 15 others killed in strike on Dhook Pir Bagh, South Waziristan.",32.3080274189,69.4576263428,8,2008
